MSSubClass,MSZoning,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Log_SalePrice,Log_LotArea,Log_GrLivArea,Log_LotFrontage
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,11.771443882099637,9.32375833901174,6.947937068614969,4.2626798770413155
60,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1142,0,1,0,3,0,4,1,Ex,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,12.75130259456002,9.386392315756542,7.751475318021456,4.454347296253507
20,RL,Pave,None,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,0,0,1,0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,1,TA,TA,Y,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,11.87757552297847,9.470317173335742,6.816735880594968,4.276666119016055
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,12.540761149388421,9.273596821611198,7.3098814858247865,4.5217885770490405
20,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,0,0,1,0,1,1,2,1,TA,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,11.964007453736912,9.298442820197728,7.134093721192866,4.30406509320417
45,RM,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,0,0,0,0,1,0,2,1,TA,Typ,0,None,Detchd,Unf,2,TA,TA,Y,48,112,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,11.790564777297387,8.71948076085107,6.75110146893676,3.9512437185814275
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,2,1,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD,Normal,11.91170829631447,9.32741204356202,6.912742820493176,4.30406509320417
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,SBrkr,0,0,0,0,2,0,2,2,TA,Typ,0,None,CarPort,Unf,2,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,500,10,2006,WD,Normal,11.407576060361786,9.286560397887591,7.167809184316444,4.290459441148391
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,0,0,1,0,1,1,3,1,Gd,Typ,0,None,Detchd,Unf,2,TA,TA,Y,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,11.976665770490767,9.524859098381523,7.016609683894219,4.204692619390966
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,0,0,0,0,1,0,3,1,TA,Min1,0,None,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,11.842236406331555,8.93075873555827,7.200424892944957,4.2626798770413155
60,RL,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1218,0,0,0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,12.692506186542177,9.562123369834488,7.773594467360194,4.624972813284271
45,RM,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,0,0,0,0,1,0,3,1,Gd,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,0,0,205,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,11.845109950883979,8.915969311373605,7.011213987350367,4.060443010546419
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,12.345838935721968,9.184304357425342,7.493317248862145,4.330733340286331
120,RM,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,TA,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,11.774527900858468,8.348774539791274,6.966967138613983,3.8066624897703196
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,0,0,1,0,1,0,3,1,Gd,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,11.944714374881176,9.017604776833355,6.966967138613983,4.276666119016055
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,12.454107814022272,9.56317796268366,7.3783837129967145,4.709530201312334
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,0,0,0,1,1,0,3,1,Gd,Typ,0,None,Detchd,Unf,2,TA,TA,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,11.811554895830454,8.881975184248867,6.803505257608338,4.110873864173311
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,3,1,Gd,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,12.631343648903034,9.348274558065496,7.4413203897176174,4.59511985013459
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,0,0,1,0,1,0,2,1,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,12.242891437918386,9.700269170029188,7.3783837129967145,3.871201010907891
30,RM,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,0,0,0,0,1,0,1,1,Fa,Typ,0,None,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,11.134603622683905,8.752265313595721,6.255750041753367,4.110873864173311
70,C (all),Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,668,0,0,0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,1,TA,Fa,N,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,10.596659732783579,9.04793908261736,7.183870715062453,3.9318256327243257
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,0,0,0,0,1,1,3,1,Gd,Typ,0,None,Attchd,Unf,1,TA,TA,Y,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,11.914054519303125,9.053101595549691,7.113956109566034,4.276666119016055
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,2,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,12.100161978566867,9.3101857069459,7.118826249062078,4.454347296253507
20,RL,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,0,0,0,1,1,1,4,1,Gd,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,12.016732516077072,9.26416545867109,7.438971592395862,4.2626798770413155
120,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,2,1,Ex,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,12.533579815765737,8.897545598709327,7.3537223303996315,4.110873864173311
60,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1320,0,0,0,3,1,4,1,Gd,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,12.6410997921206,9.504426892100957,7.8050670442584895,4.6913478822291435
20,RL,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,0,0,0,1,1,3,1,TA,Typ,0,None,Attchd,Unf,2,TA,TA,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,11.884495917930655,9.292841593487926,7.001245622069476,4.727387818712341
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,0,0,0,1,1,0,3,1,TA,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,11.938199736300925,9.051696278536586,7.168579897264035,4.31748811353631
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,Gd,Typ,0,None,Detchd,Unf,1,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,11.599112335481124,8.977525200965243,6.964135612418245,4.23410650459726
90,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,TA,N,FuseP,0,0,0,0,2,0,2,2,Fa,Typ,0,None,None,None,0,None,None,N,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,11.314486721293981,8.706324840138741,7.050122520269059,4.189654742026425
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,TA,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,0,0,None,GdWo,None,0,12,2006,WD,Abnorml,11.982935344196433,9.066354521447801,7.1891677384203225,4.442651256490317
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,0,0,0,1,1,1,2,1,TA,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,12.04355959836804,9.735423867488873,7.192182058713246,4.7535901911063645
85,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,0,0,1,0,1,0,2,1,Gd,Typ,0,None,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,0,0,None,MnPrv,None,0,12,2007,WD,Normal,11.87757552297847,9.1248914101437,6.785587645007929,4.212100162283536
20,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,0,1,0,1,0,3,1,TA,Typ,0,None,Detchd,Unf,1,TA,TA,Y,145,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,11.777218637129327,9.127067452782361,6.844815479208263,4.2626798770413155
20,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,0,0,1,0,1,0,3,1,TA,Typ,0,None,Attchd,RFn,1,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,5,2006,WD,Normal,11.856522261533737,8.980423936374544,7.048386408721883,4.2626798770413155
120,RL,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,0,0,1,0,2,0,2,1,Ex,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,0,0,None,None,None,0,2,2010,WD,Normal,12.675766851909591,8.943636705909594,7.469083884921234,4.127134385045092
50,RL,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,631,0,1,0,1,1,1,1,Gd,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,0,198,0,None,None,None,0,8,2009,WD,Abnorml,12.387089184491993,9.458995712459116,7.673223121121708,3.8918202981106265
20,FV,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,0,0,0,0,2,0,3,1,Gd,Typ,0,None,Attchd,RFn,3,TA,TA,Y,0,146,0,0,0,0,None,None,None,0,7,2007,WD,Normal,12.428019481065613,9.314430080500564,7.4127640174265625,4.442651256490317
